ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002181	cytoplasmic translation	62/471	119/3352	9.22108201980303e-24	2.68978962517654e-20	2.56928464278091e-20	RPL23A/RPS4X/RPS27A/RPSA/RPL4/RPS6/RPL41/RPL11/RPS3A/RPLP0/RPS3/RPS27/RPS24/RPL12/RPL6/RPL37A/YBX1/RPL37/PABPC1/RPL27A/RPS25/RPS7/RPS8/RPS18/EIF4G1/RPS23/RPS12/RPL14/RPS11/RPLP1/RPL24/RPL7/RPS20/RPL32/RPL3/RPS15A/RACK1/RPL27/RPL23/PKM/CSDE1/RPL30/RPL13A/UBA52/EIF3A/RPL35A/RPL38/SH3BGRL/RPL5/RPS13/RPL10A/EIF3I/EIF3CL/EIF3C/RPL7A/EIF3L/RPL29/RPL35/ETF1/AARS1/RPL34/RPL31	62
GO:0006412	translation	95/471	308/3352	8.54307031775667e-16	1.24600680584481e-12	1.19018458584747e-12	EEF1A1/RPL23A/RPS4X/RPS27A/HSPB1/RPSA/RPL4/RPS6/RPL41/RPL11/RPS3A/RPLP0/RPS3/RPS27/GAPDH/RPS24/RPL12/RPL6/RPL37A/YBX1/RPL37/PABPC1/RPL27A/RPS25/EIF4B/THBS1/NCL/RPS7/RPS8/RPS18/EIF4G1/RPS23/RPS12/RPL14/RPS11/RPLP1/RPL24/RPL7/RPS20/RPL32/RPL3/RPS15A/RACK1/RPL27/RPL23/EIF4G2/PKM/PLXNB2/SERBP1/APP/CSDE1/RPL30/RPL13A/UBA52/MKNK2/EIF3A/RPL35A/EEF1B2/RPL38/EIF4E2/SH3BGRL/MRPS21/RPL5/ZNF706/RPS13/RPL10A/NPM1/EIF3I/CNOT1/YARS1/EIF3CL/KARS1/EPRS1/CNOT2/EIF3C/APEH/RBM3/RPL7A/LARS1/EIF3L/TRAP1/RPL29/NAT10/ITGA2/RPL35/EIF2S1/ZFP36/ETF1/AARS1/RPL34/TOB1/RPL36AL/RPL31/PABPC4/SSB	95
GO:0043043	peptide biosynthetic process	95/471	311/3352	1.73582407554128e-15	1.6877996094513e-12	1.61218467647641e-12	EEF1A1/RPL23A/RPS4X/RPS27A/HSPB1/RPSA/RPL4/RPS6/RPL41/RPL11/RPS3A/RPLP0/RPS3/RPS27/GAPDH/RPS24/RPL12/RPL6/RPL37A/YBX1/RPL37/PABPC1/RPL27A/RPS25/EIF4B/THBS1/NCL/RPS7/RPS8/RPS18/EIF4G1/RPS23/RPS12/RPL14/RPS11/RPLP1/RPL24/RPL7/RPS20/RPL32/RPL3/RPS15A/RACK1/RPL27/RPL23/EIF4G2/PKM/PLXNB2/SERBP1/APP/CSDE1/RPL30/RPL13A/UBA52/MKNK2/EIF3A/RPL35A/EEF1B2/RPL38/EIF4E2/SH3BGRL/MRPS21/RPL5/ZNF706/RPS13/RPL10A/NPM1/EIF3I/CNOT1/YARS1/EIF3CL/KARS1/EPRS1/CNOT2/EIF3C/APEH/RBM3/RPL7A/LARS1/EIF3L/TRAP1/RPL29/NAT10/ITGA2/RPL35/EIF2S1/ZFP36/ETF1/AARS1/RPL34/TOB1/RPL36AL/RPL31/PABPC4/SSB	95
GO:0006518	peptide metabolic process	99/471	347/3352	5.77812205902514e-14	4.21369551154409e-11	4.02491818164199e-11	EEF1A1/RPL23A/RPS4X/RTN4/RPS27A/HSPB1/RPSA/RPL4/RPS6/RPL41/RPL11/RPS3A/RPLP0/RPS3/RPS27/GAPDH/RPS24/RPL12/RPL6/RPL37A/YBX1/RPL37/PABPC1/RPL27A/RPS25/EIF4B/THBS1/NCL/RPS7/RPS8/RPS18/EIF4G1/RPS23/RPS12/RPL14/RPS11/RPLP1/RPL24/RPL7/RPS20/RPL32/RPL3/RPS15A/RACK1/RPL27/RPL23/EIF4G2/PKM/PLXNB2/SERBP1/APP/CSDE1/RPL30/RPL13A/UBA52/MKNK2/EIF3A/RPL35A/EEF1B2/RPL38/EIF4E2/SH3BGRL/MRPS21/RPL5/ZNF706/RPS13/RPL10A/NPM1/EIF3I/CNOT1/YARS1/EIF3CL/KARS1/EPRS1/TAPBP/CNOT2/EIF3C/APEH/CPD/RBM3/RPL7A/LARS1/EIF3L/TRAP1/RPL29/NAT10/ITGA2/RPL35/NPEPPS/EIF2S1/ZFP36/ETF1/AARS1/RPL34/TOB1/RPL36AL/RPL31/PABPC4/SSB	99
GO:0043604	amide biosynthetic process	95/471	342/3352	1.29154601263695e-12	7.53487943772394e-10	7.1973100956842e-10	EEF1A1/RPL23A/RPS4X/RPS27A/HSPB1/RPSA/RPL4/RPS6/RPL41/RPL11/RPS3A/RPLP0/RPS3/RPS27/GAPDH/RPS24/RPL12/RPL6/RPL37A/YBX1/RPL37/PABPC1/RPL27A/RPS25/EIF4B/THBS1/NCL/RPS7/RPS8/RPS18/EIF4G1/RPS23/RPS12/RPL14/RPS11/RPLP1/RPL24/RPL7/RPS20/RPL32/RPL3/RPS15A/RACK1/RPL27/RPL23/EIF4G2/PKM/PLXNB2/SERBP1/APP/CSDE1/RPL30/RPL13A/UBA52/MKNK2/EIF3A/RPL35A/EEF1B2/RPL38/EIF4E2/SH3BGRL/MRPS21/RPL5/ZNF706/RPS13/RPL10A/NPM1/EIF3I/CNOT1/YARS1/EIF3CL/KARS1/EPRS1/CNOT2/EIF3C/APEH/RBM3/RPL7A/LARS1/EIF3L/TRAP1/RPL29/NAT10/ITGA2/RPL35/EIF2S1/ZFP36/ETF1/AARS1/RPL34/TOB1/RPL36AL/RPL31/PABPC4/SSB	95
GO:0043603	amide metabolic process	103/471	406/3352	5.72600383954959e-11	2.78379219999436e-08	2.65907581812066e-08	EEF1A1/RPL23A/RPS4X/RTN4/RPS27A/HSPB1/RPSA/RPL4/RPS6/RPL41/RPL11/RPS3A/RPLP0/RPS3/RPS27/GAPDH/RPS24/RPL12/RPL6/RPL37A/YBX1/RPL37/PABPC1/RPL27A/RPS25/EIF4B/THBS1/NCL/RPS7/RPS8/RPS18/EIF4G1/RPS23/RPS12/RPL14/RPS11/RPLP1/RPL24/RPL7/RPS20/RPL32/RPL3/RPS15A/RACK1/RPL27/RPL23/EIF4G2/PKM/PLXNB2/SERBP1/APP/CSDE1/RPL30/RPL13A/UBA52/MKNK2/EIF3A/RPL35A/OAT/EEF1B2/RPL38/EIF4E2/SH3BGRL/MRPS21/RPL5/ZNF706/RPS13/RPL10A/NPM1/EIF3I/CNOT1/YARS1/EIF3CL/KARS1/EPRS1/TAPBP/CNOT2/EIF3C/APEH/CPD/RBM3/RPL7A/LARS1/EIF3L/TRAP1/RPL29/NAT10/GLUL/ITGA2/RPL35/NPEPPS/EIF2S1/MVD/ZFP36/ETF1/AARS1/RPL34/TOB1/PGAM1/RPL36AL/RPL31/PABPC4/SSB	103
GO:0042254	ribosome biogenesis	40/471	114/3352	7.05255446675756e-09	2.93890019707597e-06	2.80723483812139e-06	RPL23A/RPS4X/RPSA/RPS6/RPL11/RPS3A/RPLP0/RPS27/RPS24/RPL6/RPS25/RPS7/RPS8/RPS23/RPS12/RPL14/RPS11/RPL24/RPL7/RPS15A/RPL27/SERBP1/SNU13/RPL35A/RAN/RPL38/XPO1/RPL5/RPS13/RPL10A/NOP10/NPM1/SBDS/RPL7A/RSL1D1/NAT10/GLUL/RPL35/BMS1/UTP14A	40
GO:0022613	ribonucleoprotein complex biogenesis	56/471	191/3352	1.26130174731575e-08	4.59902149615006e-06	4.39298121729578e-06	RPL23A/RPS4X/HSP90AA1/RPSA/RPS6/RPL11/RPS3A/RPLP0/HSP90AB1/RPS27/RPS24/RPL6/RPS25/RPS7/RPS8/RPS23/RPS12/RPL14/RPS11/RPL24/RPL7/RPS15A/RPL27/SNRPG/SERBP1/RPL13A/SF3B3/SNU13/EIF3A/RPL35A/RAN/RPL38/XPO1/RPL5/RPS13/STRAP/RPL10A/NOP10/NPM1/EIF3I/PRPF8/EIF3CL/EIF3C/SBDS/RPL7A/EIF3L/RSL1D1/NAT10/GLUL/SRPK1/RPL35/BMS1/SNRNP200/SNRPD2/UTP14A/PTGES3	56
GO:0042273	ribosomal large subunit biogenesis	16/471	32/3352	1.24023659829973e-06	0.000401974461915591	0.000383965646280631	RPL23A/RPL11/RPLP0/RPL6/RPL14/RPL24/RPL7/SNU13/RPL35A/RPL38/RPL5/RPL10A/NPM1/RPL7A/RSL1D1/RPL35	16
GO:0042274	ribosomal small subunit biogenesis	19/471	49/3352	1.41710836072117e-05	0.00413370508822366	0.00394851140087257	RPS4X/RPSA/RPS6/RPS3A/RPS27/RPS24/RPS25/RPS7/RPS8/RPS23/RPS12/RPS11/RPS15A/SNU13/RPL38/RPS13/NPM1/NAT10/BMS1	19
