	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000279928	0.653368081307799	0.0526021840424525	2.34379157180219	0.0224432004429496	0.982094420049402	0.998110547662509
ENSG00000228037	0.336186703323144	0.0476009265505167	3.12727635490693	0.0152212088566549	0.987855701400703	0.998110547662509
ENSG00000142611	8.10595900259623	0.105250493197075	0.62846707686394	0.167471769121585	0.866998858786079	0.998110547662509
ENSG00000284616	0	NA	NA	NA	NA	NA
ENSG00000157911	43.723747581017	0.0878371886633309	0.278838748270895	0.315010697788659	0.752753531417677	0.998110547662509
ENSG00000260972	0	NA	NA	NA	NA	NA
ENSG00000224340	0	NA	NA	NA	NA	NA
ENSG00000226374	0	NA	NA	NA	NA	NA
ENSG00000229280	0	NA	NA	NA	NA	NA
ENSG00000142655	94.0352901804461	0.183663835569242	0.200809742171257	0.91461616146396	0.360393171305223	0.998110547662509
ENSG00000232596	0	NA	NA	NA	NA	NA
ENSG00000235054	0	NA	NA	NA	NA	NA
ENSG00000231510	0	NA	NA	NA	NA	NA
ENSG00000149527	305.459872867949	0.253941820714005	0.124498609758742	2.03971611575505	0.0413786088412917	0.998110547662509
ENSG00000284739	0	NA	NA	NA	NA	NA
ENSG00000171621	165.790975257019	-0.00887754225910492	0.148334898478956	-0.0598479680111446	0.952276721069482	0.998110547662509
ENSG00000272235	0	NA	NA	NA	NA	NA
ENSG00000284694	0	NA	NA	NA	NA	NA
ENSG00000224387	0	NA	NA	NA	NA	NA
ENSG00000142583	7.11932143307423	-0.0193860681595014	0.668647780227651	-0.0289929447651814	0.976870217492281	0.998110547662509
ENSG00000284674	0	NA	NA	NA	NA	NA
ENSG00000224338	0	NA	NA	NA	NA	NA
ENSG00000287727	0	NA	NA	NA	NA	NA
ENSG00000286448	0.160178244680468	-0.91416703813183	4.0804728567969	-0.224034583788271	0.822730393130748	0.998110547662509
ENSG00000284703	0	NA	NA	NA	NA	NA
ENSG00000226457	0.980784571775387	-2.1738429362405	1.94316358320415	-1.11871329569484	0.263262471190819	0.998110547662509
ENSG00000173614	76.8636822941294	0.120747502215259	0.210992353449357	0.57228378299615	0.567129734512814	0.998110547662509
ENSG00000215720	0	NA	NA	NA	NA	NA
ENSG00000241326	0	NA	NA	NA	NA	NA
ENSG00000233623	0	NA	NA	NA	NA	NA
ENSG00000204624	2.35968978080072	1.38750101931069	1.27495641794423	1.08827329293964	0.276474477025404	0.998110547662509
ENSG00000142606	0.330244170074972	0.0476010079306072	3.14620855497511	0.0151296416301887	0.987928753064803	0.998110547662509
ENSG00000225931	1.01394087929661	1.05732832971171	1.89398558199304	0.558255743741769	0.576669760846313	0.998110547662509
ENSG00000171729	51.6596058074196	0.0956236423833739	0.264093072072064	0.362083115748227	0.717289920516369	0.998110547662509
ENSG00000279457	68.954481625633	0.126315133884274	0.229427567873525	0.550566503646621	0.581930876235127	0.998110547662509
ENSG00000229393	0.342555274512667	1.92382214989083	3.05450341278635	0.629831396435044	0.52880490166198	0.998110547662509
ENSG00000037637	67.2376901028207	-0.217392755769561	0.225226885951333	-0.965216718471773	0.334436274827058	0.998110547662509
ENSG00000287586	0	NA	NA	NA	NA	NA
ENSG00000159423	137.161959856507	0.0892012325100221	0.16433779647705	0.542791946966864	0.587273058490815	0.998110547662509
ENSG00000227169	0	NA	NA	NA	NA	NA
ENSG00000283356	0	NA	NA	NA	NA	NA
ENSG00000157916	391.328484457242	-0.0403414794478381	0.0993327661641889	-0.40612459519306	0.684651054980968	0.998110547662509
ENSG00000157881	60.6635132575663	0.172781791694983	0.243887370677545	0.708449114093021	0.478666401738482	0.998110547662509
ENSG00000238290	1.34277120956789	0.0545888310110649	1.6293349928453	0.033503749229455	0.973272876059163	0.998110547662509
ENSG00000225387	0	NA	NA	NA	NA	NA
ENSG00000048707	446.528154496393	-0.0794472105706534	0.0947339543119929	-0.838635008404751	0.401674159105146	0.998110547662509
ENSG00000225196	0	NA	NA	NA	NA	NA
ENSG00000162444	0.998454663482638	1.05627869433412	1.83725056092671	0.574923593329228	0.565342972718577	0.998110547662509
ENSG00000279625	0	NA	NA	NA	NA	NA
ENSG00000180758	190.720573696186	0.00109499852880032	0.137785930827583	0.00794709969460182	0.993659198594278	0.998755073219022
ENSG00000184677	157.455708357335	0.0477798415906695	0.150254333544345	0.31799310185332	0.750490169468703	0.998110547662509
ENSG00000288398	10.444667635242	0.194273314029238	0.582579909073183	0.333470672440977	0.738779023785093	0.998110547662509
ENSG00000224621	1.31881115284357	0.0611593293695694	1.59772016968232	0.0382791245489064	0.969465134782534	0.998110547662509
ENSG00000285833	0	NA	NA	NA	NA	NA
