baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_gene_id	external_gene_name	description	entrez_id
3168.84338487432	1.41758156410549	0.0342687358222931	41.3666139146953	0	0	ENSG00000212907	ND4L	NADH dehydrogenase subunit 4L	4539
25910.5585763598	-0.300962235067191	0.0116010358946238	-25.9427035482809	2.19789034165377e-148	3.96609312151423e-145	ENSG00000115414	FN1	fibronectin 1	2335
25443.9129010296	-0.294743012490723	0.0116564106751814	-25.2859152533364	4.56375694705973e-141	5.49019960731285e-138	ENSG00000156508	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	1915
8585.55653282575	0.509204726527429	0.0203944819416347	24.9677696145791	1.36946903056647e-137	1.2356034328286e-134	ENSG00000228253	ATP8	ATP synthase F0 subunit 8	4509
87545.5930498991	0.146187866519324	0.00615701173379895	23.7433145882807	1.2881399858667e-124	9.29779441798584e-122	ENSG00000198712	COX2	cytochrome c oxidase subunit II	4513
34690.7151674203	0.181996191099153	0.00969700902516868	18.7682810881974	1.37255105910925e-78	8.25589462054213e-76	ENSG00000210082	NA	NA	NA
17628.8360789898	-0.245975629936025	0.0142267753387539	-17.2896263614977	5.63161131441804e-67	2.90349789053353e-64	ENSG00000182718	ANXA2	annexin A2	302
11465.2206724166	-0.3039048734816	0.0183356955378273	-16.5744938802366	1.06556270588124e-61	4.80701975690676e-59	ENSG00000196205	NA	NA	NA
33970.1613982484	0.174305616599349	0.0107386490042201	16.2316150319141	3.01423109009222e-59	1.20870666712698e-56	ENSG00000198899	ATP6	ATP synthase F0 subunit 6	4508
4301.5551894183	-0.465535962752102	0.0297614957071675	-15.6422233389294	3.75389265450461e-55	1.35477985901071e-52	ENSG00000198242	RPL23A	ribosomal protein L23a	6147
7711.42187531883	-0.282577824681168	0.0223486403247149	-12.64407232724	1.20640023358453e-36	3.95808949364234e-34	ENSG00000196262	PPIA	peptidylprolyl isomerase A	5478
8195.65183284129	-0.270088770037365	0.0216291429696841	-12.4872617660315	8.76175620661758e-36	2.63509817914024e-33	ENSG00000198034	RPS4X	ribosomal protein S4 X-linked	6191
18303.9688381852	-0.177073269874135	0.01455691486222	-12.1642031673688	4.82126968603923e-34	1.33845863822427e-31	ENSG00000058085	LAMC2	laminin subunit gamma 2	3918
30835.0133400418	-0.126224220433933	0.0106034734375225	-11.9040445734756	1.12747240301e-32	2.90646278747364e-30	ENSG00000198727	CYTB	cytochrome b	4519
8859.32964070585	-0.242763401999285	0.0204312791222801	-11.8819482885217	1.46902937080418e-32	3.53448466615485e-30	ENSG00000053747	LAMA3	laminin subunit alpha 3	3909
25215.8249850071	-0.142798515560145	0.012383194807484	-11.5316376573388	9.13885435582611e-31	2.06138283563603e-28	ENSG00000196754	S100A2	S100 calcium binding protein A2	6273
5228.18770042771	-0.308335827991712	0.0269672046253177	-11.4337333911961	2.83645619996847e-30	6.02162966216835e-28	ENSG00000197956	S100A6	S100 calcium binding protein A6	6277
51732.2881991757	0.087393017097411	0.00840651572735844	10.3958667219281	2.58922130857155e-25	5.19138872368595e-23	ENSG00000198786	ND5	NADH dehydrogenase subunit 5	4540
2043.55228776649	-0.462230437944368	0.0449288167155516	-10.2880616881319	7.97658769257982e-25	1.51513184118529e-22	ENSG00000234851	RPL23AP42	ribosomal protein L23a pseudogene 42	647099
6225.31444811527	0.239631277278273	0.0247525552758043	9.68107230175599	3.62889616464534e-22	6.54834312910251e-20	ENSG00000198695	ND6	NADH dehydrogenase subunit 6	4541
